SETOR ECONÔMICO;SUBSETOR;SEGMENTO;LISTAGEM;SM
Materiais Básicos;Embalagens;IRANI ;RANI;NM             
Materiais Básicos;Materiais Diversos;Materiais Diversos;;
Materiais Básicos;Materiais Diversos;SANSUY      ;SNSY;
Bens Industriais;Construção e Engenharia;Produtos para Construção;;
Bens Industriais;Construção e Engenharia;ETERNIT     ;ETER;NM             
Bens Industriais;Construção e Engenharia;HAGA S/A    ;HAGA;
Bens Industriais;Construção e Engenharia;PORTOBELLO  ;PTBL;NM             
Bens Industriais;Construção e Engenharia;Construção Pesada;;
Bens Industriais;Construção e Engenharia;AZEVEDO     ;AZEV;
Bens Industriais;Construção e Engenharia;Engenharia Consultiva;;
Bens Industriais;Construção e Engenharia;SONDOTECNICA;SOND;
Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa;;
Bens Industriais;Material de Transporte;EMBRAER     ;EMBR;NM             
Bens Industriais;Material de Transporte;Material Rodoviário;;
Bens Industriais;Material de Transporte;FRAS-LE     ;FRAS;N1             
Bens Industriais;Material de Transporte;MARCOPOLO   ;POMO;N2             
Bens Industriais;Material de Transporte;RANDON PART ;RAPT;N1             
Bens Industriais;Material de Transporte;RECRUSUL    ;RCSL;
Bens Industriais;Material de Transporte;RIOSULENSE  ;RSUL;
Bens Industriais;Material de Transporte;TUPY        ;TUPY;NM             
Bens Industriais;Material de Transporte;WETZEL S/A  ;MWET;
Bens Industriais;Máquinas e Equipamentos;Motores, Compressores e Outros;;
Bens Industriais;Máquinas e Equipamentos;SCHULZ      ;SHUL;
Bens Industriais;Máquinas e Equipamentos;WEG         ;WEGE;NM             
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Industriais;;
Bens Industriais;Máquinas e Equipamentos;ACO ALTONA  ;EALT;
Bens Industriais;Máquinas e Equipamentos;AERIS;AERI;NM             
Bens Industriais;Máquinas e Equipamentos;ARMAC;ARML;NM             
Bens Industriais;Máquinas e Equipamentos;BARDELLA    ;BDLL;
Bens Industriais;Máquinas e Equipamentos;INEPAR      ;INEP;
Bens Industriais;Máquinas e Equipamentos;KEPLER WEBER;KEPL;NM             
Bens Industriais;Máquinas e Equipamentos;METALFRIO   ;FRIO;NM             
Bens Industriais;Máquinas e Equipamentos;MILLS       ;MILS;NM             
Bens Industriais;Máquinas e Equipamentos;NORDON MET  ;NORD;
Bens Industriais;Máquinas e Equipamentos;PRATICA;PTCA;M2
Bens Industriais;Máquinas e Equipamentos;ROMI   ;ROMI;NM             
Bens Industriais;Máquinas e Equipamentos;Máq. e Equip. Construção e Agrícolas;;
Bens Industriais;Máquinas e Equipamentos;METISA      ;MTSA;
Bens Industriais;Máquinas e Equipamentos;Armas e Munições;;
Bens Industriais;Máquinas e Equipamentos;TAURUS ARMAS;TASA;N2             
Bens Industriais;Transporte;Linhas Aéreas de Passageiros;;
Bens Industriais;Transporte;AZUL;AZUL;N2             
Bens Industriais;Transporte;GOL         ;GOLL;N2             
Bens Industriais;Transporte;Transporte Ferroviário;;
Bens Industriais;Transporte;ALL NORTE   ;FRRN;MB             
Bens Industriais;Transporte;FER C ATLANT;VSPT;
Bens Industriais;Transporte;MRS LOGIST  ;MRSA;MB             
Bens Industriais;Transporte;RUMO S.A.;RAIL;NM             
Bens Industriais;Transporte;Transporte Hidroviário;;
Bens Industriais;Transporte;HIDROVIAS;HBSA;NM             
Bens Industriais;Transporte;LOG-IN      ;LOGN;NM             
Bens Industriais;Transporte;TREVISA     ;LUXM;
Bens Industriais;Transporte;Transporte Rodoviário;;
Bens Industriais;Transporte;JSL         ;JSLG;NM             
Bens Industriais;Transporte;TEGMA       ;TGMA;NM             
Bens Industriais;Transporte;Exploração de Rodovias;;
Bens Industriais;Transporte;CCR SA      ;CCRO;NM             
Bens Industriais;Transporte;CONC RIO TER;CRTE;
Bens Industriais;Transporte;ECORODOVIAS ;ECOR;NM             
Bens Industriais;Transporte;ROD TIETE   ;RDVT;
Bens Industriais;Transporte;TRIUNFO PART;TPIS;NM             
Bens Industriais;Transporte;Serviços de Apoio e Armazenagem;;
Bens Industriais;Transporte;GRUAIRPORT;AGRU;
Bens Industriais;Transporte;HMOBI S.A;HMOB;
Bens Industriais;Transporte;INVEPAR     ;IVPR;MB             
Bens Industriais;Transporte;PORTO VM;PSVM;
Bens Industriais;Transporte;SALUS INFRA;SAIP;
Bens Industriais;Transporte;SANTOS BRP  ;STBP;NM             
Bens Industriais;Transporte;WILSON SONS ;PORT;NM             
Bens Industriais;Serviços Diversos;Serviços Diversos;;
Bens Industriais;Serviços Diversos;ATMASA;ATMP;
Bens Industriais;Serviços Diversos;BBMLOGISTICA;BBML;MA
Bens Industriais;Serviços Diversos;DTCOM-DIRECT;DTCY;
Bens Industriais;Serviços Diversos;ESTAPAR;ALPK;NM             
Bens Industriais;Serviços Diversos;GPS;GGPS;NM             
Bens Industriais;Serviços Diversos;PRINER;PRNR;NM             
Bens Industriais;Serviços Diversos;SEQUOIA LOG;SEQL;NM             
Bens Industriais;Serviços Diversos;VALID       ;VLID;NM             
Bens Industriais;Comércio;Material de Transporte;;
Bens Industriais;Comércio;EMBPAR S/A;EPAR;
Bens Industriais;Comércio;MINASMAQUINA;MMAQ;
Bens Industriais;Comércio;RODOBENS;RBNS;
Bens Industriais;Comércio;WLM IND COM ;WLMM;
Consumo não Cíclico;Agropecuária;Agricultura;;
Consumo não Cíclico;Agropecuária;3TENTOS;TTEN;NM             
Consumo não Cíclico;Agropecuária;AGRIBRASIL;GRAO;MA
Consumo não Cíclico;Agropecuária;AGROGALAXY;AGXY;NM             
Consumo não Cíclico;Agropecuária;ALIPERTI    ;APTI;
Consumo não Cíclico;Agropecuária;BOA SAFRA;SOJA;NM             
Consumo não Cíclico;Agropecuária;BRASILAGRO  ;AGRO;NM             
Consumo não Cíclico;Agropecuária;CTC S.A.;CTCA;MA
Consumo não Cíclico;Agropecuária;GRANJA FARIA;EGGY;
Consumo não Cíclico;Agropecuária;SLC AGRICOLA;SLCE;NM             
Consumo não Cíclico;Agropecuária;TERRASANTAPA;LAND;NM             
Consumo não Cíclico;Alimentos Processados;Açucar e Alcool;;
Consumo não Cíclico;Alimentos Processados;JALLESMACHAD;JALL;NM             
Consumo não Cíclico;Alimentos Processados;SAO MARTINHO;SMTO;NM             
Consumo não Cíclico;Alimentos Processados;Carnes e Derivados;;
Consumo não Cíclico;Alimentos Processados;BRF SA   ;BRFS;NM             
Consumo não Cíclico;Alimentos Processados;EXCELSIOR   ;BAUH;
Consumo não Cíclico;Alimentos Processados;JBS         ;JBSS;NM             
Consumo não Cíclico;Alimentos Processados;MARFRIG     ;MRFG;NM             
Consumo não Cíclico;Alimentos Processados;MINERVA     ;BEEF;NM             
Consumo não Cíclico;Alimentos Processados;MINUPAR     ;MNPR;
Consumo não Cíclico;Alimentos Processados;Alimentos Diversos;;
Consumo não Cíclico;Alimentos Processados;CAMIL;CAML;NM             
Consumo não Cíclico;Alimentos Processados;JOSAPAR     ;JOPA;
Consumo não Cíclico;Alimentos Processados;M.DIASBRANCO;MDIA;NM             
Consumo não Cíclico;Alimentos Processados;ODERICH     ;ODER;
Consumo não Cíclico;Bebidas;Cervejas e Refrigerantes;;
Consumo não Cíclico;Bebidas;AMBEV S/A;ABEV;
Consumo não Cíclico;Produtos de Cuidado Pessoal e de Limpeza;Produtos de Cuidado Pessoal;;
Consumo não Cíclico;Produtos de Cuidado Pessoal e de Limpeza;GRUPO NATURA      ;NTCO;NM             
Consumo não Cíclico;Produtos de Cuidado Pessoal e de Limpeza;Produtos de Limpeza;;
Consumo não Cíclico;Produtos de Cuidado Pessoal e de Limpeza;BOMBRIL     ;BOBR;
Consumo não Cíclico;Comércio e Distribuição;Alimentos;;
Consumo não Cíclico;Comércio e Distribuição;ASSAI;ASAI;NM             
Consumo não Cíclico;Comércio e Distribuição;CARREFOUR BR;CRFB;NM             
Consumo não Cíclico;Comércio e Distribuição;EXITO;EXCO;DR2
Consumo não Cíclico;Comércio e Distribuição;GRUPO MATEUS;GMAT;NM             
Consumo não Cíclico;Comércio e Distribuição;P.ACUCAR-CBD;PCAR;NM             
Consumo Cíclico;Construção Civil;Incorporações;;
Consumo Cíclico;Construção Civil;ALPHAVILLE;AVLL;NM             
Consumo Cíclico;Construção Civil;CONST A LIND;CALI;
Consumo Cíclico;Construção Civil;CURY S/A;CURY;NM             
Consumo Cíclico;Construção Civil;CYRELA REALT;CYRE;NM             
Consumo Cíclico;Construção Civil;DIRECIONAL  ;DIRR;NM             
Consumo Cíclico;Construção Civil;EVEN        ;EVEN;NM             
Consumo Cíclico;Construção Civil;EZTEC       ;EZTC;NM             
Consumo Cíclico;Construção Civil;FICA;FIEI;
Consumo Cíclico;Construção Civil;GAFISA      ;GFSA;NM             
Consumo Cíclico;Construção Civil;HELBOR      ;HBOR;NM             
Consumo Cíclico;Construção Civil;INC SA;INNC;MA
Consumo Cíclico;Construção Civil;JHSF PART   ;JHSF;NM             
Consumo Cíclico;Construção Civil;JOAO FORTES ;JFEN;
Consumo Cíclico;Construção Civil;KALLAS;KLAS;
Consumo Cíclico;Construção Civil;LAVVI;LAVV;NM             
Consumo Cíclico;Construção Civil;MELNICK;MELK;NM             
Consumo Cíclico;Construção Civil;MITRE REALTY;MTRE;NM             
Consumo Cíclico;Construção Civil;MOURA DUBEUX;MDNE;NM             
Consumo Cíclico;Construção Civil;MRV         ;MRVE;NM             
Consumo Cíclico;Construção Civil;PDG REALT   ;PDGR;NM             
Consumo Cíclico;Construção Civil;PLANOEPLANO;PLPL;NM             
Consumo Cíclico;Construção Civil;RNI;RDNI;NM             
Consumo Cíclico;Construção Civil;ROSSI RESID ;RSID;NM             
Consumo Cíclico;Construção Civil;TECNISA     ;TCSA;NM             
Consumo Cíclico;Construção Civil;TEGRA INCORP;TEGA;
Consumo Cíclico;Construção Civil;TENDA;TEND;NM             
Consumo Cíclico;Construção Civil;TRISUL      ;TRIS;NM             
Consumo Cíclico;Construção Civil;VIVER       ;VIVR;NM             
Consumo Cíclico;Tecidos, Vestuário e Calçados;Fios e Tecidos;;
Consumo Cíclico;Tecidos, Vestuário e Calçados;CEDRO       ;CEDO;N1             
Consumo Cíclico;Tecidos, Vestuário e Calçados;COTEMINAS   ;CTNM;
Consumo Cíclico;Tecidos, Vestuário e Calçados;DOHLER      ;DOHL;
Consumo Cíclico;Tecidos, Vestuário e Calçados;IND CATAGUAS;CATA;
Consumo Cíclico;Tecidos, Vestuário e Calçados;KARSTEN     ;CTKA;
Consumo Cíclico;Tecidos, Vestuário e Calçados;PETTENATI   ;PTNT;
Consumo Cíclico;Tecidos, Vestuário e Calçados;SANTANENSE  ;CTSA;
Consumo Cíclico;Tecidos, Vestuário e Calçados;SPRINGS     ;SGPS;NM             
Consumo Cíclico;Tecidos, Vestuário e Calçados;TEKA        ;TEKA;
Consumo Cíclico;Tecidos, Vestuário e Calçados;TEX RENAUX  ;TXRX;
Consumo Cíclico;Tecidos, Vestuário e Calçados;Vestuário;;
Consumo Cíclico;Tecidos, Vestuário e Calçados;TRACK FIELD;TFCO;N2
Consumo Cíclico;Tecidos, Vestuário e Calçados;Calçados;;
Consumo Cíclico;Tecidos, Vestuário e Calçados;ALPARGATAS  ;ALPA;N1             
Consumo Cíclico;Tecidos, Vestuário e Calçados;CAMBUCI     ;CAMB;
Consumo Cíclico;Tecidos, Vestuário e Calçados;GRENDENE    ;GRND;NM             
Consumo Cíclico;Tecidos, Vestuário e Calçados;VULCABRAS   ;VULC;NM             
Consumo Cíclico;Tecidos, Vestuário e Calçados;Acessórios;;
Consumo Cíclico;Tecidos, Vestuário e Calçados;MUNDIAL     ;MNDL;
Consumo Cíclico;Tecidos, Vestuário e Calçados;TECHNOS     ;TECN;NM             
Consumo Cíclico;Tecidos, Vestuário e Calçados;VIVARA S.A.;VIVA;NM             
Consumo Cíclico;Utilidades Domésticas;Eletrodomésticos;;
Consumo Cíclico;Utilidades Domésticas;WHIRLPOOL   ;WHRL;
Consumo Cíclico;Utilidades Domésticas;Móveis;;
Consumo Cíclico;Utilidades Domésticas;MOBLY;MBLY;NM             
Consumo Cíclico;Utilidades Domésticas;UNICASA;UCAS;NM             
Consumo Cíclico;Utilidades Domésticas;WESTWING;WEST;NM             
Consumo Cíclico;Utilidades Domésticas;Utensílios Domésticos;;
Consumo Cíclico;Utilidades Domésticas;HERCULES    ;HETA;
Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;;
Consumo Cíclico;Automóveis e Motocicletas;IOCHP-MAXION;MYPK;NM             
Consumo Cíclico;Automóveis e Motocicletas;METAL LEVE  ;LEVE;NM             
Consumo Cíclico;Automóveis e Motocicletas;PLASCAR PART;PLAS;
Consumo Cíclico;Hoteis e Restaurantes;Hotelaria;;
Consumo Cíclico;Hoteis e Restaurantes;HOTEIS OTHON;HOOT;
Consumo Cíclico;Hoteis e Restaurantes;Restaurante e Similares;;
Consumo Cíclico;Hoteis e Restaurantes;IMC S/A;MEAL;NM             
Consumo Cíclico;Hoteis e Restaurantes;ZAMP S.A.;ZAMP;
Consumo Cíclico;Viagens e Lazer;Bicicletas;;
Consumo Cíclico;Viagens e Lazer;BIC MONARK  ;BMKS;
Consumo Cíclico;Viagens e Lazer;Brinquedos e Jogos;;
Consumo Cíclico;Viagens e Lazer;ESTRELA     ;ESTR;
Consumo Cíclico;Viagens e Lazer;Produção de Eventos e Shows;;
Consumo Cíclico;Viagens e Lazer;SPTURIS     ;AHEB;
Consumo Cíclico;Viagens e Lazer;TIME FOR FUN;SHOW;NM             
Consumo Cíclico;Viagens e Lazer;Viagens e Turismo;;
Consumo Cíclico;Viagens e Lazer;CVC BRASIL;CVCB;NM             
Consumo Cíclico;Viagens e Lazer;Atividades Esportivas;;
Consumo Cíclico;Viagens e Lazer;SMART FIT;SMFT;NM             
Consumo Cíclico;Diversos;Serviços Educacionais;;
Consumo Cíclico;Diversos;ANIMA;ANIM;NM             
Consumo Cíclico;Diversos;BAHEMA      ;BAHI;MA
Consumo Cíclico;Diversos;COGNA ON;COGN;NM             
Consumo Cíclico;Diversos;CRUZEIRO EDU;CSED;NM             
Consumo Cíclico;Diversos;SER EDUCA;SEER;NM             
Consumo Cíclico;Diversos;VITRUEDUCA;VTRU;NM             
Consumo Cíclico;Diversos;YDUQS PART;YDUQ;NM             
Consumo Cíclico;Diversos;Aluguel de carros;;
Consumo Cíclico;Diversos;LOCALIZA    ;RENT;NM             
Consumo Cíclico;Diversos;MAESTROLOC;MSRO;MA
Consumo Cíclico;Diversos;MOVIDA;MOVI;NM             
Consumo Cíclico;Diversos;VAMOS;VAMO;NM             
Consumo Cíclico;Diversos;Programas de Fidelização;;
Consumo Cíclico;Diversos;DOTZ SA;DOTZ;NM             
Consumo Cíclico;Comércio Varejista;Tecidos, Vestuário e Calçados;;
Consumo Cíclico;Comércio Varejista;AZZAS 2154;AZZA;NM             
Consumo Cíclico;Comércio Varejista;CEA MODAS;CEAB;NM             
Consumo Cíclico;Comércio Varejista;GRAZZIOTIN  ;CGRA;
Consumo Cíclico;Comércio Varejista;GUARARAPES  ;GUAR;NM             
Consumo Cíclico;Comércio Varejista;LOJAS MARISA;AMAR;NM             
Consumo Cíclico;Comércio Varejista;LOJAS RENNER;LREN;NM             
Consumo Cíclico;Comércio Varejista;VESTE;VSTE;NM             
Consumo Cíclico;Comércio Varejista;Eletrodomésticos;;
Consumo Cíclico;Comércio Varejista;ALLIED;ALLD;NM             
Consumo Cíclico;Comércio Varejista;CASAS BAHIA;BHIA;NM             
Consumo Cíclico;Comércio Varejista;MAGAZ LUIZA ;MGLU;NM             
Consumo Cíclico;Comércio Varejista;Produtos Diversos;;
Consumo Cíclico;Comércio Varejista;AMERICANAS;AMER;NM             
Consumo Cíclico;Comércio Varejista;ESPACOLASER;ESPA;NM             
Consumo Cíclico;Comércio Varejista;GRUPO SBF;SBFG;NM             
Consumo Cíclico;Comércio Varejista;LE BISCUIT;LLBI;
Consumo Cíclico;Comércio Varejista;PETZ;PETZ;NM             
Consumo Cíclico;Comércio Varejista;QUERO-QUERO;LJQQ;NM             
Saúde;Medicamentos e Outros Produtos;Medicamentos e Outros Produtos;;
Saúde;Medicamentos e Outros Produtos;BIOMM       ;BIOM;MA
Saúde;Medicamentos e Outros Produtos;NORTCQUIMICA;NRTQ;
Saúde;Medicamentos e Outros Produtos;OUROFINO S/A;OFSA;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;Serviços Médico - Hospitalares, Análises e Diagnósticos;;
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;ALLIAR;AALR;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;DASA        ;DASA;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;FLEURY      ;FLRY;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;HAPVIDA;HAPV;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;KORA SAUDE;KRSA;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;MATER DEI;MATD;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;ODONTOPREV  ;ODPV;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;ONCOCLINICAS;ONCO;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;QUALICORP   ;QUAL;NM             
Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;REDE D OR;RDOR;NM             
Saúde;Equipamentos;Equipamentos;;
Saúde;Equipamentos;BAUMER      ;BALM;
Saúde;Equipamentos;LIFEMED;LMED;MA
Saúde;Comércio e Distribuição;Medicamentos e Outros Produtos;;
Saúde;Comércio e Distribuição;BLAU;BLAU;NM             
Saúde;Comércio e Distribuição;D1000VFARMA;DMVF;NM             
Saúde;Comércio e Distribuição;DIMED       ;PNVL;NM             
Saúde;Comércio e Distribuição;EUROFARMA SA;EUFA;M2             
Saúde;Comércio e Distribuição;HYPERA;HYPE;NM             
Saúde;Comércio e Distribuição;PAGUE MENOS;PGMN;NM             
Saúde;Comércio e Distribuição;PROFARMA    ;PFRM;NM             
Saúde;Comércio e Distribuição;RAIADROGASIL    ;RADL;NM             
Saúde;Comércio e Distribuição;VIVEO;VVEO;NM             
Tecnologia da Informação;Computadores e Equipamentos;Computadores e Equipamentos;;
Tecnologia da Informação;Computadores e Equipamentos;INTELBRAS;INTB;NM             
Tecnologia da Informação;Computadores e Equipamentos;MULTILASER;MLAS;NM             
Tecnologia da Informação;Computadores e Equipamentos;POSITIVO TEC;POSI;NM             
Tecnologia da Informação;Programas e Serviços;Programas e Serviços;;
Tecnologia da Informação;Programas e Serviços;BEMOBI TECH;BMOB;NM             
Tecnologia da Informação;Programas e Serviços;BRQ;BRQB;MA
Tecnologia da Informação;Programas e Serviços;ENJOEI;ENJU;NM             
Tecnologia da Informação;Programas e Serviços;GETNINJAS;NINJ;NM             
Tecnologia da Informação;Programas e Serviços;INFRACOMM;IFCM;NM             
Tecnologia da Informação;Programas e Serviços;LWSA;LWSA;NM             
Tecnologia da Informação;Programas e Serviços;MELIUZ;CASH;NM             
Tecnologia da Informação;Programas e Serviços;NEOGRID;NGRD;NM             
Tecnologia da Informação;Programas e Serviços;PADTEC;PDTC;NM             
Tecnologia da Informação;Programas e Serviços;QUALITY SOFT;QUSW;MA
Tecnologia da Informação;Programas e Serviços;TC;TRAD;NM             
Tecnologia da Informação;Programas e Serviços;TOTVS       ;TOTS;NM             
Tecnologia da Informação;Programas e Serviços;WDC NETWORKS;LVTC;NM             
Comunicações;Telecomunicações;Telecomunicações;;
Comunicações;Telecomunicações;BRISANET;BRIT;NM             
Comunicações;Telecomunicações;DESKTOP;DESK;NM             
Comunicações;Telecomunicações;OI;OIBR;N1
Comunicações;Telecomunicações;TELEBRAS    ;TELB;
Comunicações;Telecomunicações;TELEF BRASIL;VIVT;
Comunicações;Telecomunicações;TIM;TIMS;NM             
Comunicações;Telecomunicações;UNIFIQUE;FIQE;NM             
Comunicações;Mídia;Publicidade e Propaganda;;
Comunicações;Mídia;ELETROMIDIA;ELMD;NM             
Utilidade Pública;Energia Elétrica;Energia Elétrica;;
Utilidade Pública;Energia Elétrica;AES BRASIL;AESB;NM             
Utilidade Pública;Energia Elétrica;AESOPERACOES;AESO;
Utilidade Pública;Energia Elétrica;AFLUENTE T  ;AFLT;
Utilidade Pública;Energia Elétrica;ALUPAR;ALUP;N2             
Utilidade Pública;Energia Elétrica;AMPLA ENERG ;CBEE;
Utilidade Pública;Energia Elétrica;AUREN;AURE;NM             
Utilidade Pública;Energia Elétrica;CEB         ;CEBR;
Utilidade Pública;Energia Elétrica;CEEE-D      ;CEED;
Utilidade Pública;Energia Elétrica;CELESC      ;CLSC;N2             
Utilidade Pública;Energia Elétrica;CELGPAR     ;GPAR;
Utilidade Pública;Energia Elétrica;CEMIG       ;CMIG;N1             
Utilidade Pública;Energia Elétrica;COELBA      ;CEEB;
Utilidade Pública;Energia Elétrica;COELCE      ;COCE;
Utilidade Pública;Energia Elétrica;COMERC PAR;COMR;
Utilidade Pública;Energia Elétrica;COPEL       ;CPLE;N2             
Utilidade Pública;Energia Elétrica;COSERN      ;CSRN;
Utilidade Pública;Energia Elétrica;CPFL ENERGIA;CPFE;NM             
Utilidade Pública;Energia Elétrica;ELEKTRO     ;EKTR;
Utilidade Pública;Energia Elétrica;ELETROBRAS  ;ELET;N1             
Utilidade Pública;Energia Elétrica;ELETROPAR   ;LIPR;
Utilidade Pública;Energia Elétrica;EMAE        ;EMAE;
Utilidade Pública;Energia Elétrica;ENERGISA    ;ENGI;N2             
Utilidade Pública;Energia Elétrica;ENERGISA MT;ENMT;
Utilidade Pública;Energia Elétrica;ENEVA;ENEV;NM             
Utilidade Pública;Energia Elétrica;ENGIE BRASIL;EGIE;NM             
Utilidade Pública;Energia Elétrica;EQTL PARA;EQPA;
Utilidade Pública;Energia Elétrica;EQTLMARANHAO;EQMA;MB             
Utilidade Pública;Energia Elétrica;EQUATORIAL  ;EQTL;NM             
Utilidade Pública;Energia Elétrica;GER PARANAP ;GEPA;
Utilidade Pública;Energia Elétrica;LIGHT       ;LIGH;
Utilidade Pública;Energia Elétrica;LIGHT S/A   ;LIGT;NM             
Utilidade Pública;Energia Elétrica;NEOENERGIA  ;NEOE;NM             
Utilidade Pública;Energia Elétrica;SERENA;SRNA;NM             
Utilidade Pública;Energia Elétrica;PROMAN      ;PRMN;MB             
Utilidade Pública;Energia Elétrica;REDE ENERGIA;REDE;
Utilidade Pública;Energia Elétrica;RENOVA      ;RNEW;N2             
Utilidade Pública;Energia Elétrica;SAFIRA ENERG;SAEN;M2
Utilidade Pública;Energia Elétrica;TAESA       ;TAEE;N2             
Utilidade Pública;Energia Elétrica;TRAN PAULIST;TRPL;N1             
Utilidade Pública;Energia Elétrica;UPTICK      ;UPKP;
Utilidade Pública;Água e Saneamento;Água e Saneamento;;
Utilidade Pública;Água e Saneamento;AMBIPAR;AMBP;NM             
Utilidade Pública;Água e Saneamento;CASAN       ;CASN;
Utilidade Pública;Água e Saneamento;COPASA      ;CSMG;NM             
Utilidade Pública;Água e Saneamento;IGUA SA  ;IGSN;MA
Utilidade Pública;Água e Saneamento;ORIZON;ORVR;NM             
Utilidade Pública;Água e Saneamento;SABESP      ;SBSP;NM             
Utilidade Pública;Água e Saneamento;SANEPAR     ;SAPR;N2             
Utilidade Pública;Gás;Gás;;
Utilidade Pública;Gás;CEG         ;CEGR;
Utilidade Pública;Gás;COMGAS      ;CGAS;
Utilidade Pública;Gás;COMPASS;PASS;
